date,Artist,Song/Album Title,Peak Position,Weeks on Chart,year,generation,debut_years
2024-08-03,Jimin,Muse,2,17,2024,3,2012 - 2017
2024-08-03,NCT 127,Walk,117,1,2024,3,2012 - 2017
2024-08-17,Red Velvet,Cosmic,145,1,2024,3,2012 - 2017
2024-09-14,Le Sserafim,Crazy,7,4,2024,4,2018 - 2022
2024-09-28,BoyNextDoor,19.99,40,1,2024,5,2023 - 
2024-10-05,P1Harmony,Sad Song,16,1,2024,4,2018 - 2022
2024-11-02,Seventeen,Spill the Feels,5,4,2024,3,2012 - 2017
2024-11-09,Aespa,Whiplash,50,1,2024,4,2018 - 2022
2024-11-09,Itzy,Gold,60,1,2024,4,2018 - 2022
2024-11-16,Babymonster,Drip,149,1,2024,5,2023 - 
2024-11-23,TXT,The Star Chapter: Sanctuary,2,1,2024,4,2018 - 2022
2024-11-23,Illit,I'll Like You,94,1,2024,5,2023 - 
2024-11-23,Kep1er,Tipi-tap,147,1,2024,4,2018 - 2022
