"id_company","id","name"
0,452,FC ENM
0,453,William Morris Endeavor
0,454,Favor Entertainment
0,456,IOK Company
0,457,Space Music Entertainment
0,458,Daytona Entertainment
0,459,MAKEUS Entertainment
4,461,M25 Entertainment
0,462,ROXTAMUZIK&LIVE
0,463,Rolling Star Entertainment
0,464,Hux Entertainment
0,465,Keystone Entertainment
0,466,Double HTN
0,467,Cube Entertainment + Starship Entertainment
0,468,Space Bohemian
0,469,Elephant Culture
0,470,PH Entertainment
0,471,DWM Entertainment
0,472,JUSTICE RECORDS
0,473,HP Entertainment
0,475,MYstar Entertainment
41,476,ADOR
0,477,POPMUSIC Entertainment
0,478,DK Entertainment
0,479,SRP Entertainment
0,480,MORE VISION
0,481,Balming Tiger
0,482,Friday Entertainment
0,484,MODHAUS
0,485,GIG Entertainment
0,486,Born Again Entertainment
0,487,Attrakt Creative Group
0,488,AB Creative
0,489,HYPER RHYTHM
0,490,Big Mountain Entertainment
0,491,Nature Space Entertainment
0,492,IMH Entertainment
0,493,Monday Kiz Company
0,494,"143 Entertainment"
0,495,AO Entertainment
0,496,withHC
0,498,XGALX
0,499,CS Happy Entertainment
0,500,Billion Music
0,501,Beautiful Noise
0,502,AP Alchemy
0,503,ESCROW Entertainment
0,504,Creative Su Entertainment
0,505,ToEast Music
0,506,ATRP
0,507,Choi Creative Lab
0,508,One Cool Jacso
0,509,Sugar Records
0,510,Music Authority
502,511,Indigo Music
0,512,INFINITE Company
0,515,Tango Music
0,518,Windfall
0,519,JS Entertainment
0,520,Double Media
0,521,"220 Entertainment"
0,522,Apple of the Eye Co.
0,523,Leessang Company
0,524,Chungchun Music
0,526,Crescendo Music
0,527,Mnet Media
0,531,GP Entertainment
0,532,D Ocean Music
30,533,Mun Hwa In
0,534,Peponi Music
0,536,"2Works Entertainment"
0,537,Star Gaze Entertainment
0,539,Move Entertainment
0,540,Sha Label
0,542,MA Entertainment
0,543,UZUROCKS
1,544,Starworld
0,545,Deep Studio Entertainment
0,546,"28 LABORATORY"
0,547,Bonboo Entertainment
0,549,Forest Network
0,550,Studio Curiosity
0,552,Play Music Entertainment
0,553,IMGL Label
0,554,Thisisit Records
0,555,KMOONfnd
0,556,SS Entertainment
0,557,C2K Entertainment
0,558,CTD Entertainment
0,559,Beyond Love
0,560,"2bic Company"
0,562,CRAFT AND JUN
0,563,Haeun Entertainment
0,564,H&I Entertainment
0,565,Newtech Music
41,566,Big Hit Music
366,568,Aura Entertainment
0,570,Devine Channel
0,571,PALMTREE ISLAND
0,572,iNKODE
0,574,"8BallTown"
0,576,Indivision Entertainment
0,577,You.will.knovv
0,578,Luminant Entertainment
0,579,Mark Planet
0,580,Appeal Sound Music
0,581,JG Star
0,582,R&D Company
0,583,Cera Music
0,585,LK Entertainment
0,586,Fate Entertainment
0,587,Roots Entertainment
41,588,Hybe Labels Japan
0,590,Little Boy Records
0,591,Baba Play
0,592,Pops Entertainment
0,593,YC:Bros Entertainment
0,594,Tube Amp Music
0,596,"THINKABOUT Entertainment Co., Ltd."
0,597,PITAPAT Music
