"data","ranklist"
"2021-03-27","[[""872"",""Rosé"",""On The Ground"",1,400],[""40"",""BTS"",""Dynamite"",6,195],[""872"",""Rosé"",""Gone"",29,172],[""40"",""BTS"",""Life Goes On"",145,56],[""31"",""Blackpink"",""How You Like That"",160,41]]"
"2021-04-03","[[""40"",""BTS"",""Dynamite"",12,189],[""872"",""Rosé"",""On The Ground"",25,176],[""872"",""Rosé"",""Gone"",178,23],[""31"",""Blackpink"",""How You Like That"",183,18],[""40"",""BTS"",""Life Goes On"",188,13]]"
"2021-04-10","[[""40"",""BTS"",""Dynamite"",13,188],[""872"",""Rosé"",""On The Ground"",49,152],[1015,""NiziU"",""Take A Picture"",188,13],[""40"",""BTS"",""Life Goes On"",193,8]]"
"2021-04-17","[[""40"",""BTS"",""Film Out"",5,196],[""40"",""BTS"",""Dynamite"",14,187],[""872"",""Rosé"",""On The Ground"",55,146],[1015,""NiziU"",""Take A Picture"",91,110],[""872"",""Rosé"",""Gone"",95,106],[""40"",""BTS"",""Life Goes On"",173,28],[""31"",""Blackpink"",""How You Like That"",197,4]]"
"2021-04-24","[[""40"",""BTS"",""Dynamite"",14,187],[""40"",""BTS"",""Film Out"",54,147],[1015,""NiziU"",""Take A Picture"",101,100],[""872"",""Rosé"",""On The Ground"",106,95]]"
"2021-05-01","[[""40"",""BTS"",""Dynamite"",18,183],[""40"",""BTS"",""Film Out"",91,110],[""872"",""Rosé"",""On The Ground"",124,77],[1015,""NiziU"",""Take A Picture"",182,19]]"
"2021-05-08","[[""40"",""BTS"",""Dynamite"",17,184],[""40"",""BTS"",""Film Out"",134,67],[""872"",""Rosé"",""On The Ground"",154,47],[""31"",""Blackpink"",""How You Like That"",198,3]]"
"2021-05-15","[[""40"",""BTS"",""Dynamite"",19,182],[460,""ITZY"",""In The Morning"",34,167],[""40"",""BTS"",""Film Out"",182,19]]"
"2021-05-22","[[""40"",""BTS"",""Dynamite"",21,180],[460,""ITZY"",""In The Morning"",63,138],[149,""NCT DREAM"",""Hot Sauce"",96,105]]"
"2021-05-29","[[""40"",""BTS"",""Dynamite"",33,168],[460,""ITZY"",""In The Morning"",80,121],[""707"",""Aespa"",""Next Level"",97,104],[149,""NCT DREAM"",""Hot Sauce"",144,57]]"
"2021-06-05","[[""40"",""BTS"",""Butter"",1,400],[""40"",""BTS"",""Dynamite"",18,183],[""707"",""Aespa"",""Next Level"",65,136],[""40"",""BTS"",""Life Goes On"",94,107],[460,""ITZY"",""In The Morning"",120,81],[""40"",""BTS"",""Film Out"",127,74],[""40"",""BTS"",""Boy With Luv"",157,44]]"
"2021-06-12","[[""40"",""BTS"",""Butter"",1,400],[""40"",""BTS"",""Dynamite"",18,183],[""707"",""Aespa"",""Next Level"",119,82],[""465"",""TXT"",""0X1=Lovesong (I Know I Love You)"",167,34],[460,""ITZY"",""In The Morning"",179,22],[""40"",""BTS"",""Life Goes On"",198,3]]"
"2021-06-19","[[""40"",""BTS"",""Butter"",2,300],[""40"",""BTS"",""Dynamite"",19,182],[""61"",""EXO"",""Don&#039;t Fight The Feeling"",64,137],[""707"",""Aespa"",""Next Level"",158,43],[""465"",""TXT"",""0X1=Lovesong (I Know I Love You)"",168,33],[""208"",""Twice"",""Alcohol-Free"",176,25]]"
"2021-06-26","[[""40"",""BTS"",""Butter"",2,300],[""40"",""BTS"",""Dynamite"",19,182],[""208"",""Twice"",""Alcohol-Free"",41,160],[""707"",""Aespa"",""Next Level"",172,29]]"
"2021-07-03","[[""40"",""BTS"",""Butter"",2,300],[""40"",""BTS"",""Dynamite"",20,181],[""208"",""Twice"",""Alcohol-Free"",41,160],[""707"",""Aespa"",""Next Level"",104,97],[""40"",""BTS"",""Film Out"",150,51],[171,""Seventeen"",""Ready To Love"",188,13]]"
"2021-07-10","[[""40"",""BTS"",""Butter"",3,198],[""40"",""BTS"",""Dynamite"",23,178],[""208"",""Twice"",""Alcohol-Free"",69,132],[""707"",""Aespa"",""Next Level"",171,30]]"
"2021-07-17","[[""40"",""BTS"",""Butter"",4,197],[""40"",""BTS"",""Dynamite"",22,179],[""208"",""Twice"",""Alcohol-Free"",80,121],[""707"",""Aespa"",""Next Level"",182,19]]"
"2021-07-24","[[""40"",""BTS"",""Permission To Dance"",1,400],[""40"",""BTS"",""Butter"",6,195],[""40"",""BTS"",""Dynamite"",21,180],[""208"",""Twice"",""Alcohol-Free"",103,98]]"
"2021-07-31","[[""40"",""BTS"",""Permission To Dance"",5,196],[""40"",""BTS"",""Butter"",6,195],[""40"",""BTS"",""Dynamite"",22,179],[""208"",""Twice"",""Alcohol-Free"",148,53]]"
"2021-08-07","[[""40"",""BTS"",""Permission To Dance"",6,195],[""40"",""BTS"",""Butter"",8,193],[""40"",""BTS"",""Dynamite"",25,176],[""208"",""Twice"",""Alcohol-Free"",200,1]]"
"2021-08-14","[[""40"",""BTS"",""Permission To Dance"",8,193],[""40"",""BTS"",""Butter"",11,190],[""40"",""BTS"",""Dynamite"",29,172],[""31"",""Blackpink"",""How You Like That"",171,30]]"
"2021-08-21","[[""40"",""BTS"",""Butter"",14,187],[""40"",""BTS"",""Permission To Dance"",15,186],[""40"",""BTS"",""Dynamite"",29,172],[""31"",""Blackpink"",""How You Like That"",194,7]]"
