"id","is_collab","name","kname","previous_name","previous_kname","fname","alias","id_company","members","issolo","id_parentgroup","formation","disband","fanclub","id_debut","debut_date","date_birth","is_deceased","id_country","sales","awards","views","pak_total","gaondigital_times","gaondigital_firsts","yawards_total","social","mslevel"
4483,n,Sio,시오,"","",Jeong Jiho,정지호,0,female,y,4454,2022,"2023","",0,,"2004-10-06",n,114,0,0,0,0,0,0,0,[],0
4484,n,Aran,아란,"","",Jeong Eunah,정은아,0,female,y,4454,2022,"2023","",0,,"2004-10-11",n,114,0,0,0,0,0,0,0,[],0
4485,y,Giriboy + Paloalto,기리보이 + 팔로알토,"","","","",0,male,n,0,2021,"","",0,,,n,114,0,0,27626,0,0,0,0,[],0
4486,y,Shin Gwang Il + Haram,신광일 + 하람,"","","","",8,coed,n,0,2022,"","",0,,,n,114,0,0,38973,0,0,0,0,[],0
4487,n,RETA,레타,"","",Fu Jia,"",354,female,y,0,2022,"","",31442,,"2001-09-22",n,44,0,0,521467,0,0,0,0,"{""M"":""3070807"",""N"":""RETA"",""I"":""to_reta_"",""C"":""lilreta""}",0
4488,y,Huh Gak + Apink + Victon,허각 + 에이핑크 + 빅톤,"","","","",194,coed,n,0,2017,"2017","",0,"2017-08-03",,n,114,0,0,2140421,0,0,0,0,[],0
4489,y,K.Will + Jeon Woo Sung,케이윌 + 전우성,"","","","",0,male,n,0,2013,"2013","",0,"2013-12-17",,n,114,0,0,963676,0,0,0,0,[],0
4490,n,Juho,주호,"","",Lee Juho,이주호,0,male,y,0,2010,"","",0,"2010-11-11","1988-10-16",n,114,0,0,9834751,0,107,0,0,"{""M"":""683631"",""N"":""주호(가수)"",""I"":""livejuho"",""Y"":""UCIwgZjfWN6-DO0Bi6NIkyjQ""}",1
4491,y,RETA + San E,레타 + 산이,"","","","",0,coed,n,0,2022,"2022","",0,"2022-02-21",,n,114,0,0,39948,0,0,0,0,[],0
4492,n,Flower,플라워,"","","","",766,male,n,0,1999,"","",0,"1999-09-09",,n,114,774,0,116404,0,18,0,0,"{""I"":""endless_flower_official"",""Y"":""UC3IJypTXiOYdbMOeN8Jb3tA"",""M"":""100391"",""N"":""플라워(밴드)""}",0
4493,n,Go Yujin,고유진,"","",Go Yujin,"",766,male,y,4492,1999,"","",0,,"1976-04-08",n,114,0,0,1259624,0,6,0,0,"{""N"":""고유진""}",0
4494,n,Kim Woodi,김우디,"","",Kim Woodi,"",766,male,y,4492,1999,"","",0,,"1972-07-02",n,114,0,0,0,0,0,0,0,"",0
4495,n,Go Sungjin,고성진,"","",Go Sungjin,"",766,male,y,4492,1999,"","",0,,"1972-01-02",n,114,0,0,0,0,0,0,0,"",0
4496,n,Jeon Inhyuk,전인혁,"","",Jeon Inhyuk,"",766,male,y,4492,2004,"","",0,,"1980-02-02",n,114,0,0,0,0,0,0,0,"",0
